symptoms	sentences
gastrointestinal dysfunction	This situation is more likely to be caused by gastrointestinal disorders or gastrointestinal disorders.
abdominal pain	In the case of abdominal pains, care to keep the abdominal warm and to have a better diet, drink more warm water, and also give a local massage or heat to relieve symptoms. If pain occurs, can you take a bump of 10 mg a day or two oral abscond?
hiccup,counter-current,abdominal distention,abdominal pain	Anti-acid burp, abdominal swelling?
indigestion	Okay. Since he was in his 90s, he could not bear some special check-ups, which were related to old-age gastrointestinal perturbation.
frustration	You don't eat salt, you don't eat food, you get electrolytic disorders, so your legs don't have strength.
gastrointestinal discomfort	Yeah, it was bad for the stomach to digest worms, so it was rare, dry and hard.
bowel sound	The food can also be eaten, the cabbage, the cabbage, the celery, the spinach, the pineapple.
indigestion,gastrointestinal discomfort	Is there any reason? The cold? Indigestion? The vomiting is a reaction to the gastrointestinal discomfort. There's a lot of incentives.
disgusting,counter-current,stomach ache	Are there any nausea symptoms of stomach abstinence? How many times a day do you take a shit? Have you had a lack of activity after eating recently?
disgusting,abdominal distention,abdominal pain	In this case, it is difficult to absorb it. If it is not obvious that symptoms such as abdominal pain, nausea, vomiting, etc., are not important, it is recommended that you have more activity after dinner, and that if you have high abdominal swelling, you can use Celina anal aids to excrete.
abdominal distention	There is no need for medication for the time being, and if there is no improvement in the continued abdominal swelling following the application of the Queers and improved dietary activity, the gastrointestinal power can be boosted by oral use of Moshapoli or Dopantoxone.
abdominal distention	Your breath stinks, your abdominal swollen symptoms are currently being considered for lack of gastrointestinal power.
diarrhea	Diarrhea a few times a day. I think it's acute intestinal inflammation.
dehydration	First, not to eat anything that is so hot and cold, second, to drink light salt water, to prevent dehydration, and third, to heat up the stomach with hot water bags.
black poo	Hello, your shit's purple and black. How's your diet? Have you eaten animal blood?
indigestion	Let's lighten our diets, avoid hard oiling, and make it difficult for us to digest the food.
diarrhea	Eat less during diarrhea.
diarrhea	In your case, you should drink more water, eat more vegetables and fruits, and then take a mild laxative, for example, if polyethylene dichloride is quenched in your gastrointestinal tract, but for now, if you have diarrhea, you can eat a little remote and have diarrhea.
diarrhea	In your case, you should drink more water, eat more vegetables and fruits, and then take a mild laxative, for example, if polyethylene dichloride is quenched in your gastrointestinal tract, but for now, if you have diarrhea, you might as well take a bit of remote and stop the diarrhea.
diarrhea	Stop the drug immediately and then watch for a light diet that allows for a proper scavenging of dehydrates and the containment of diarrhea.
hot heart	I'm sorry, I'm sorry.
diarrhea	Well, let's have some poly ethanol for 4000 when you don't have a diarrhea.
hemorrhoid	Any hemorrhoids?
stomach ache	Are you sure it's a stomach ache? A stomach ache rarely reaches the back. How long has it been going on?
stomach ache	It is true that safe drugs are available during pregnancy for stomach pains.
stomach ache	However, in the light of her previous situation, it is necessary to determine whether this is often the case before pregnancy. It may also be possible to treat the drug first today if, after two days, pain relief is not clearly recommended to the hospital for detection of the hemostasis enzyme.
gastrointestinal dysfunction	The intestinal function is disturbed.
helicobacter infection	Hello! Your mouth smells different according to your age and the symptoms you describe, and if dental problems are ruled out, you can check further whether there is a phantom snails infection in the stomach.
gastrointestinal discomfort	Early defecation is not to worry about considering intestinal stress syndrome and, to put it simply, intestinal excitement, such as eating cold food, stress, etc., can cause abdominal discomfort, want to go to the restroom, and the symptoms can be completely alleviated after defecation.
abdominal distention	Special emphasis should be placed on the control of diets, where it is appropriate to eat fresh, soft and warm foods, and to avoid excessive consumption of fat, fried, cold and hard foods, as well as multiform foods such as celery, soybean sprouts, pickles, garlic, etc. Take care of dietary patterns and not to overdose; avoid the consumption of irritant foods such as coffee, tea, peppers, etc.; have less sweet and acidic foods and fruits such as chocolate, ice cream, apples; and have less scalable foods such as sweet potatoes, platinum, potatoes, etc.
abdominal distention	Three days without poop, no tummy,
diarrhea,ventilation	Oh, so, you might be fine, pull the rare, what kind of hot pot to eat. Oh, a lot of exhausts.
abdominal distention,abdominal pain	My stomach aches.
loose stool,heat	Hello, do you have a fever? Do you have dehydration?
diarrhea,loose stool	I'm talking about diarrhea from last night. Is it watery?
diarrhea,heat	And all you have to do is diarrhea, not hysteria, not for the time being, not if you've been in isolation for some time.
restlessness	I'll take those two. It's all right. Don't worry.
heat	Well, monitor the temperature. It's okay if you don't have a fever. Thank you.
diarrhea,disgusting,abdominal pain	How long has this been going on? A stomachache? A nausea?
hiccup,counter-current,abdominal distention,hot heart	Hiccup? Anti-acid water? Breathing?
counter-current	I've had a severe stomach attack.
diarrhea	Have you had a diarrhea?
abdominal pain	I'm in pain.
stomach ache,counter-current,abdominal distention,abdominal pain	I've got a pain in my stomach.
indigestion	Have you eaten anything that doesn't digest recently? Have you ever taken anything?
diarrhea	Well, it's kind of bad for the stomach to take antibiotics. You're not having a diarrhea now, are you?
gastrointestinal discomfort	Okay, any more stomach problems?
hiccup	Well, occasionally hiccups don't matter. You can eat less and adjust your stomach.
stomach ache,counter-current,abdominal distention	What's wrong with my stomach?
disgusting,abdominal pain	Do you feel like you're having pains in your chest or abdominal pain other than eating? Is there any nausea?
helicobacter infection	We ran a blood check on the phantom scallion today. No more C14 for negatives.
gastrointestinal dysfunction	But you're a gastrointestinal disorder caused by depression.
gastrointestinal dysfunction	You're a typical gastrointestinal disorder.
loose stool	I don't know what you're talking about.
gastrointestinal dysfunction	Ooh-oh. Intestine function disorders are being considered.
counter-current	There's usually no anti-acid yet.
abdominal distention	I don't know what you're talking about.
ventilation	I don't know what you're talking about.
diarrhea	How do you do? How many times do you have diarrhea?
diarrhea	It is generally recoverable, but in the event of serious diarrheal need to go to a hospital to rehydrate.
